Channel,Partner,Mature,Language,Date Created,Total Followers,Total Views,Average Viewers,Average Stream Duration,Game 1,Game 2,Game 3
dakotaz,True,False,English,13th Jan 2013,4546589,118949987,5556,5.4,Fall Guys,Fortnite,Just Chatting
StableRonaldo_,True,False,English,8th Aug 2018,637228,5163887,16553,2.9,Fortnite,Just Chatting,Fall Guys
Yassuo,True,False,English,7th Apr 2016,1884125,78952550,7555,4.9,League of Legends,Call of Duty: Modern Warfare,Fall Guys
Thijs,True,False,English,17th Feb 2014,756934,91437006,7605,6.2,Hearthstone,Raid: Shadow Legends,
MYM_ALKAPONE,True,False,Spanish,19th Jun 2012,775835,43526026,8044,5.8,Minecraft,Just Chatting,ATLAS
SolaryHS,True,False,French,12th Feb 2019,150212,21075115,1764,48.0,Hearthstone,Fall Guys,Yu-Gi-Oh! Duel Links
ZeratoR,True,True,French,25th Mar 2013,905052,96136087,14494,4.1,VALORANT,Journey to the Savage Planet,DwarfHeim
IWillDominate,True,False,English,23rd Oct 2011,812068,60116070,7418,3.9,League of Legends,Chess,Teamfight Tactics
CooLifeGame,True,False,Spanish,24th Apr 2013,400936,10262162,4432,8.6,Grand Theft Auto V,Fall Guys,Among Us
加藤純一です (kato_junichi0817),True,False,Japanese,17th Jun 2020,169507,2057731,13592,3.9,Apex Legends,,
CriticalRole,True,False,English,8th Jun 2018,578755,15645324,32593,3.5,Dungeons & Dragons,Talk Shows & Podcasts,Art
GRONKH,True,False,German,31st May 2010,1222346,85653338,15238,9.7,Just Chatting,Games + Demos,Ghost of Tsushima
Jinnytty,True,False,English,8th Jun 2017,376360,28851961,5520,7.9,Just Chatting,Grand Theft Auto V,Among Us
Sardoche,True,True,French,28th Oct 2013,755076,73998036,6846,9.4,Fall Guys,Age of Empires II: Definitive Edition,Minecraft
Kitboga,True,False,English,6th Aug 2012,780214,21064251,9891,5.8,Just Chatting,Risk of Rain 2,
MrKeroro10,True,False,Spanish,28th Jul 2012,578583,4619258,5961,6.6,Fall Guys,Fortnite,Hyper Scape
괴물쥐123 (tmxk319),True,False,Korean,17th Feb 2017,440781,20062396,6408,6.6,League of Legends,Lost Ark Online,MapleStory
POW3Rtv,True,False,Italian,15th Dec 2012,1096781,39905556,4013,7.0,Call of Duty: Modern Warfare,Just Chatting,KovaaK
Bethesda,True,True,English,22nd May 2008,535123,29870127,5781,6.5,Special Events,Fallout 76,Doom Eternal
pokelawls,True,False,English,5th Jun 2010,673593,24006996,3552,7.3,Just Chatting,Unlisted on Twitch,VALORANT
DesertHeartsRecords,False,False,English,22nd Mar 2020,88483,62839350,4300,9.8,Music,,
